861             800          
0.000000      0.000000      0.000000       
0.000000      1.000000      0.020000       
0.000000      2.000000      0.040000       
0.000000      3.000000      0.060000       
0.000000      4.000000      0.080000       
0.000000      5.000000      0.100000       
0.000000      6.000000      0.120000       
0.000000      7.000000      0.140000       
0.000000      8.000000      0.160000       
0.000000      9.000000      0.180000       
0.000000      10.000000     0.200000       
0.000000      11.000000     0.220000       
0.000000      12.000000     0.240000       
0.000000      13.000000     0.260000       
0.000000      14.000000     0.280000       
0.000000      15.000000     0.300000       
0.000000      16.000000     0.320000       
0.000000      17.000000     0.340000       
0.000000      18.000000     0.360000       
0.000000      19.000000     0.380000       
0.000000      20.000000     0.400000       
0.000000      21.000000     0.420000       
0.000000      22.000000     0.440000       
0.000000      23.000000     0.460000       
0.000000      24.000000     0.480000       
0.000000      25.000000     0.500000       
0.000000      26.000000     0.520000       
0.000000      27.000000     0.540000       
0.000000      28.000000     0.560000       
0.000000      29.000000     0.580000       
0.000000      30.000000     0.600000       
0.000000      31.000000     0.620000       
0.000000      32.000000     0.640000       
0.000000      33.000000     0.660000       
0.000000      34.000000     0.680000       
0.000000      35.000000     0.700000       
0.000000      36.000000     0.720000       
0.000000      37.000000     0.740000       
0.000000      38.000000     0.760000       
0.000000      39.000000     0.780000       
0.000000      40.000000     0.800000       
1.000000      0.000000      0.000000       
1.000000      1.000000      0.020000       
1.000000      2.000000      0.040000       
1.000000      3.000000      0.060000       
1.000000      4.000000      0.080000       
1.000000      5.000000      0.100000       
1.000000      6.000000      0.120000       
1.000000      7.000000      0.140000       
1.000000      8.000000      0.160000       
1.000000      9.000000      0.180000       
1.000000      10.000000     0.200000       
1.000000      11.000000     0.220000       
1.000000      12.000000     0.240000       
1.000000      13.000000     0.260000       
1.000000      14.000000     0.280000       
1.000000      15.000000     0.300000       
1.000000      16.000000     0.320000       
1.000000      17.000000     0.340000       
1.000000      18.000000     0.360000       
1.000000      19.000000     0.380000       
1.000000      20.000000     0.400000       
1.000000      21.000000     0.420000       
1.000000      22.000000     0.440000       
1.000000      23.000000     0.460000       
1.000000      24.000000     0.480000       
1.000000      25.000000     0.500000       
1.000000      26.000000     0.520000       
1.000000      27.000000     0.540000       
1.000000      28.000000     0.560000       
1.000000      29.000000     0.580000       
1.000000      30.000000     0.600000       
1.000000      31.000000     0.620000       
1.000000      32.000000     0.640000       
1.000000      33.000000     0.660000       
1.000000      34.000000     0.680000       
1.000000      35.000000     0.700000       
1.000000      36.000000     0.720000       
1.000000      37.000000     0.740000       
1.000000      38.000000     0.760000       
1.000000      39.000000     0.780000       
1.000000      40.000000     0.800000       
2.000000      0.000000      0.000000       
2.000000      1.000000      0.020000       
2.000000      2.000000      0.040000       
2.000000      3.000000      0.060000       
2.000000      4.000000      0.080000       
2.000000      5.000000      0.100000       
2.000000      6.000000      0.120000       
2.000000      7.000000      0.140000       
2.000000      8.000000      0.160000       
2.000000      9.000000      0.180000       
2.000000      10.000000     0.200000       
2.000000      11.000000     0.220000       
2.000000      12.000000     0.240000       
2.000000      13.000000     0.260000       
2.000000      14.000000     0.280000       
2.000000      15.000000     0.300000       
2.000000      16.000000     0.320000       
2.000000      17.000000     0.340000       
2.000000      18.000000     0.360000       
2.000000      19.000000     0.380000       
2.000000      20.000000     0.400000       
2.000000      21.000000     0.420000       
2.000000      22.000000     0.440000       
2.000000      23.000000     0.460000       
2.000000      24.000000     0.480000       
2.000000      25.000000     0.500000       
2.000000      26.000000     0.520000       
2.000000      27.000000     0.540000       
2.000000      28.000000     0.560000       
2.000000      29.000000     0.580000       
2.000000      30.000000     0.600000       
2.000000      31.000000     0.620000       
2.000000      32.000000     0.640000       
2.000000      33.000000     0.660000       
2.000000      34.000000     0.680000       
2.000000      35.000000     0.700000       
2.000000      36.000000     0.720000       
2.000000      37.000000     0.740000       
2.000000      38.000000     0.760000       
2.000000      39.000000     0.780000       
2.000000      40.000000     0.800000       
3.000000      0.000000      0.000000       
3.000000      1.000000      0.020000       
3.000000      2.000000      0.040000       
3.000000      3.000000      0.060000       
3.000000      4.000000      0.080000       
3.000000      5.000000      0.100000       
3.000000      6.000000      0.120000       
3.000000      7.000000      0.140000       
3.000000      8.000000      0.160000       
3.000000      9.000000      0.180000       
3.000000      10.000000     0.200000       
3.000000      11.000000     0.220000       
3.000000      12.000000     0.240000       
3.000000      13.000000     0.260000       
3.000000      14.000000     0.280000       
3.000000      15.000000     0.300000       
3.000000      16.000000     0.320000       
3.000000      17.000000     0.340000       
3.000000      18.000000     0.360000       
3.000000      19.000000     0.380000       
3.000000      20.000000     0.400000       
3.000000      21.000000     0.420000       
3.000000      22.000000     0.440000       
3.000000      23.000000     0.460000       
3.000000      24.000000     0.480000       
3.000000      25.000000     0.500000       
3.000000      26.000000     0.520000       
3.000000      27.000000     0.540000       
3.000000      28.000000     0.560000       
3.000000      29.000000     0.580000       
3.000000      30.000000     0.600000       
3.000000      31.000000     0.620000       
3.000000      32.000000     0.640000       
3.000000      33.000000     0.660000       
3.000000      34.000000     0.680000       
3.000000      35.000000     0.700000       
