 time (s)      vol               zflux              zinfl               zrain 
      0.0     0.00000000E+00     0.00000000E+00     0.00000000E+00     0.00000000E+00
      1.0     0.11677175E-01     0.11677175E-01     0.00000000E+00     0.00000000E+00
      2.0     0.11111111E-01     0.11111111E-01     0.00000000E+00     0.00000000E+00
      3.0     0.11111111E-01     0.11111111E-01     0.00000000E+00     0.00000000E+00
      4.0     0.11111111E-01     0.11111111E-01     0.00000000E+00     0.00000000E+00
      5.0     0.11111111E-01     0.11111111E-01     0.00000000E+00     0.00000000E+00
      6.0     0.11111105E-01     0.11111105E-01     0.00000000E+00     0.00000000E+00
      7.0     0.11020326E-01     0.11020326E-01     0.00000000E+00     0.00000000E+00
      8.0     0.10934313E-01     0.10934313E-01     0.00000000E+00     0.00000000E+00
      9.0     0.10924859E-01     0.10924859E-01     0.00000000E+00     0.00000000E+00
     10.0     0.10937460E-01     0.10937460E-01     0.00000000E+00     0.00000000E+00
     11.0     0.10948074E-01     0.10948074E-01     0.00000000E+00     0.00000000E+00
     12.0     0.10965622E-01     0.10965622E-01     0.00000000E+00     0.00000000E+00
     13.0     0.10984993E-01     0.10984993E-01     0.00000000E+00     0.00000000E+00
     14.0     0.11003721E-01     0.11003721E-01     0.00000000E+00     0.00000000E+00
     15.0     0.11020720E-01     0.11020720E-01     0.00000000E+00     0.00000000E+00
     16.0     0.11035616E-01     0.11035616E-01     0.00000000E+00     0.00000000E+00
     17.0     0.11048384E-01     0.11048384E-01     0.00000000E+00     0.00000000E+00
     18.0     0.11059176E-01     0.11059176E-01     0.00000000E+00     0.00000000E+00
     19.0     0.11068216E-01     0.11068216E-01     0.00000000E+00     0.00000000E+00
     20.0     0.11075741E-01     0.11075741E-01     0.00000000E+00     0.00000000E+00
     21.0     0.11081979E-01     0.11081979E-01     0.00000000E+00     0.00000000E+00
     22.0     0.11087135E-01     0.11087135E-01     0.00000000E+00     0.00000000E+00
     23.0     0.11091389E-01     0.11091389E-01     0.00000000E+00     0.00000000E+00
     24.0     0.11094894E-01     0.11094894E-01     0.00000000E+00     0.00000000E+00
     25.0     0.11097779E-01     0.11097779E-01     0.00000000E+00     0.00000000E+00
     26.0     0.11100152E-01     0.11100152E-01     0.00000000E+00     0.00000000E+00
     27.0     0.11102103E-01     0.11102103E-01     0.00000000E+00     0.00000000E+00
     28.0     0.11103706E-01     0.11103706E-01     0.00000000E+00     0.00000000E+00
     29.0     0.11105023E-01     0.11105023E-01     0.00000000E+00     0.00000000E+00
     30.0     0.11106105E-01     0.11106105E-01     0.00000000E+00     0.00000000E+00
     31.0     0.11106994E-01     0.11106994E-01     0.00000000E+00     0.00000000E+00
     32.0     0.11107725E-01     0.11107725E-01     0.00000000E+00     0.00000000E+00
     33.0     0.11108326E-01     0.11108326E-01     0.00000000E+00     0.00000000E+00
     34.0     0.11108819E-01     0.11108819E-01     0.00000000E+00     0.00000000E+00
     35.0     0.11109225E-01     0.11109225E-01     0.00000000E+00     0.00000000E+00
     36.0     0.11109558E-01     0.11109558E-01     0.00000000E+00     0.00000000E+00
     37.0     0.11109833E-01     0.11109833E-01     0.00000000E+00     0.00000000E+00
     38.0     0.11110058E-01     0.11110058E-01     0.00000000E+00     0.00000000E+00
     39.0     0.11110244E-01     0.11110244E-01     0.00000000E+00     0.00000000E+00
     40.0     0.11110397E-01     0.11110397E-01     0.00000000E+00     0.00000000E+00
     41.0     0.11110523E-01     0.11110523E-01     0.00000000E+00     0.00000000E+00
     42.0     0.11110626E-01     0.11110626E-01     0.00000000E+00     0.00000000E+00
     43.0     0.11110711E-01     0.11110711E-01     0.00000000E+00     0.00000000E+00
     44.0     0.11110782E-01     0.11110782E-01     0.00000000E+00     0.00000000E+00
     45.0     0.11110839E-01     0.11110839E-01     0.00000000E+00     0.00000000E+00
     46.0     0.11110887E-01     0.11110887E-01     0.00000000E+00     0.00000000E+00
     47.0     0.11110926E-01     0.11110926E-01     0.00000000E+00     0.00000000E+00
     48.0     0.11110959E-01     0.11110959E-01     0.00000000E+00     0.00000000E+00
     49.0     0.11110985E-01     0.11110985E-01     0.00000000E+00     0.00000000E+00
     50.0     0.11111007E-01     0.11111007E-01     0.00000000E+00     0.00000000E+00
     51.0     0.11111025E-01     0.11111025E-01     0.00000000E+00     0.00000000E+00
     52.0     0.11111040E-01     0.11111040E-01     0.00000000E+00     0.00000000E+00
     53.0     0.11111053E-01     0.11111053E-01     0.00000000E+00     0.00000000E+00
     54.0     0.11111063E-01     0.11111063E-01     0.00000000E+00     0.00000000E+00
     55.0     0.11111071E-01     0.11111071E-01     0.00000000E+00     0.00000000E+00
     56.0     0.11111078E-01     0.11111078E-01     0.00000000E+00     0.00000000E+00
     57.0     0.11111084E-01     0.11111084E-01     0.00000000E+00     0.00000000E+00
     58.0     0.11111089E-01     0.11111089E-01     0.00000000E+00     0.00000000E+00
     59.0     0.11111093E-01     0.11111093E-01     0.00000000E+00     0.00000000E+00
     60.0     0.11111096E-01     0.11111096E-01     0.00000000E+00     0.00000000E+00
     61.0     0.11111098E-01     0.11111098E-01     0.00000000E+00     0.00000000E+00
     62.0     0.11111101E-01     0.11111101E-01     0.00000000E+00     0.00000000E+00
