       flux1               flux2            flux3               flux4 
      0.00000000E+00     0.00000000E+00     0.00000000E+00     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11677175E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11111111E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11111111E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11111111E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11111111E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11111105E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11020326E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10934313E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10924859E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10937460E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10948074E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10965622E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.10984993E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11003721E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11020720E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11035616E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11048384E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11059176E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11068216E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11075741E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11081979E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11087135E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11091389E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11094894E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11097779E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11100152E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11102103E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11103706E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11105023E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11106105E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11106994E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11107725E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11108326E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11108819E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11109225E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11109558E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11109833E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110058E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110244E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110397E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110523E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110626E-01     0.00000000E+00
      0.00000000E+00     0.00000000E+00     0.11110711E-01     0.00000000E+00
      0.00000000E+00    -0.25497307E-20     0.11110782E-01     0.25497307E-20
      0.00000000E+00     0.39364749E-20     0.11110839E-01    -0.39364749E-20
      0.00000000E+00    -0.40285326E-20     0.11110887E-01     0.40285326E-20
      0.00000000E+00    -0.18384563E-21     0.11110926E-01     0.18384563E-21
      0.00000000E+00    -0.36278569E-22     0.11110959E-01     0.36278569E-22
      0.00000000E+00     0.67259086E-20     0.11110985E-01    -0.67259086E-20
      0.00000000E+00    -0.18503365E-21     0.11111007E-01     0.18503365E-21
      0.00000000E+00     0.00000000E+00     0.11111025E-01     0.00000000E+00
      0.00000000E+00     0.34862418E-19     0.11111040E-01    -0.34862418E-19
      0.00000000E+00     0.18718791E-19     0.11111053E-01    -0.18718791E-19
      0.00000000E+00    -0.19403757E-19     0.11111063E-01     0.19403757E-19
      0.00000000E+00     0.41413249E-20     0.11111071E-01    -0.41413249E-20
      0.00000000E+00    -0.62626935E-20     0.11111078E-01     0.62626935E-20
      0.00000000E+00     0.31271241E-19     0.11111084E-01    -0.31271241E-19
      0.00000000E+00    -0.10750178E-19     0.11111089E-01     0.10750178E-19
      0.00000000E+00     0.84473899E-20     0.11111093E-01    -0.84473899E-20
      0.00000000E+00     0.87361315E-20     0.11111096E-01    -0.87361315E-20
      0.00000000E+00    -0.95555587E-20     0.11111098E-01     0.95555587E-20
      0.00000000E+00     0.37224769E-19     0.11111101E-01    -0.37224769E-19
      0.00000000E+00    -0.35503731E-19     0.11111102E-01     0.35503731E-19
      0.00000000E+00     0.55080048E-19     0.11111104E-01    -0.55080048E-19
      0.00000000E+00    -0.14470344E-19     0.11111105E-01     0.14470344E-19
      0.00000000E+00    -0.57407460E-20     0.11111106E-01     0.57407460E-20
      0.00000000E+00     0.14088244E-19     0.11111107E-01    -0.14088244E-19
      0.00000000E+00     0.19771263E-19     0.11111108E-01    -0.19771263E-19
      0.00000000E+00    -0.39793042E-19     0.11111108E-01     0.39793042E-19
      0.00000000E+00    -0.91463478E-20     0.11111109E-01     0.91463478E-20
      0.00000000E+00     0.42952590E-21     0.11111109E-01    -0.42952590E-21
      0.00000000E+00     0.28963828E-19     0.11111110E-01    -0.28963828E-19
      0.00000000E+00     0.90182372E-20     0.11111110E-01    -0.90182372E-20
      0.00000000E+00    -0.99727118E-19     0.11111110E-01     0.99727118E-19
      0.00000000E+00    -0.10035586E-18     0.11111110E-01     0.10035586E-18
      0.00000000E+00     0.38231598E-20     0.11111110E-01    -0.38231598E-20
      0.00000000E+00     0.61425537E-19     0.11111111E-01    -0.61425537E-19
      0.00000000E+00    -0.21002971E-19     0.11111111E-01     0.21002971E-19
      0.00000000E+00    -0.30153257E-20     0.11111111E-01     0.30153257E-20
      0.00000000E+00    -0.68550489E-20     0.11111111E-01     0.68550489E-20
      0.00000000E+00    -0.32643674E-19     0.11111111E-01     0.32643674E-19
      0.00000000E+00     0.15016276E-19     0.11111111E-01    -0.15016276E-19
      0.00000000E+00     0.89485668E-20     0.11111111E-01    -0.89485668E-20
      0.00000000E+00    -0.93079674E-19     0.11111111E-01     0.93079674E-19
      0.00000000E+00    -0.77010538E-19     0.11111111E-01     0.77010538E-19
      0.00000000E+00    -0.52149550E-19     0.11111111E-01     0.52149550E-19
      0.00000000E+00    -0.24104211E-19     0.11111111E-01     0.24104211E-19
      0.00000000E+00     0.12682152E-19     0.11111111E-01    -0.12682152E-19
      0.00000000E+00    -0.13476266E-19     0.11111111E-01     0.13476266E-19
      0.00000000E+00     0.11304035E-19     0.11111111E-01    -0.11304035E-19
      0.00000000E+00    -0.22607801E-19     0.11111111E-01     0.22607801E-19
      0.00000000E+00     0.31152421E-19     0.11111111E-01    -0.31152421E-19
      0.00000000E+00    -0.88485079E-19     0.11111111E-01     0.88485079E-19
      0.00000000E+00    -0.56570440E-19     0.11111111E-01     0.56570440E-19
      0.00000000E+00     0.13781040E-18     0.11111111E-01    -0.13781040E-18
      0.00000000E+00    -0.22165908E-19     0.11111111E-01     0.22165908E-19
      0.00000000E+00     0.45384135E-19     0.11111111E-01    -0.45384135E-19
      0.00000000E+00    -0.11495673E-18     0.11111111E-01     0.11495673E-18
      0.00000000E+00    -0.11334765E-19     0.11111111E-01     0.11334765E-19
      0.00000000E+00     0.10317759E-18     0.11111111E-01    -0.10317759E-18
      0.00000000E+00    -0.11348893E-19     0.11111111E-01     0.11348893E-19
      0.00000000E+00     0.92267992E-19     0.11111111E-01    -0.92267992E-19
      0.00000000E+00     0.57656559E-19     0.11111111E-01    -0.57656559E-19
      0.00000000E+00    -0.11627668E-19     0.11111111E-01     0.11627668E-19
      0.00000000E+00    -0.18399541E-18     0.11111111E-01     0.18399541E-18
      0.00000000E+00    -0.11648531E-19     0.11111111E-01     0.11648531E-19
      0.00000000E+00    -0.11417184E-19     0.11111111E-01     0.11417184E-19
      0.00000000E+00    -0.57560458E-19     0.11111111E-01     0.57560458E-19
      0.00000000E+00    -0.11474193E-19     0.11111111E-01     0.11474193E-19
      0.00000000E+00     0.80520092E-19     0.11111111E-01    -0.80520092E-19
      0.00000000E+00    -0.23056659E-19     0.11111111E-01     0.23056659E-19
      0.00000000E+00    -0.57592146E-19     0.11111111E-01     0.57592146E-19
      0.00000000E+00     0.22974443E-19     0.11111111E-01    -0.22974443E-19
      0.00000000E+00     0.46053553E-19     0.11111111E-01    -0.46053553E-19
      0.00000000E+00     0.34558275E-19     0.11111111E-01    -0.34558275E-19
